organization_name,organization_state,unitid,institution_name_override,state_override,control_label_override,category_override,notes
VIRGINIA POLYTECHNIC INST AND ST UNIV,Virginia,233921,Virginia Polytechnic Institute and State University,Virginia,Public,"Degree-granting, primarily baccalaureate or above",Exact Virginia Tech abbreviation
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,Virginia,234076,University of Virginia,Virginia,Public,"Degree-granting, primarily baccalaureate or above",Legal entity to flagship campus
UNIVERSITY OF TEXAS MED BR GALVESTON,Texas,228653,The University of Texas Medical Branch at Galveston,Texas,Public,"Degree-granting, primarily baccalaureate or above",Medical Branch abbreviation
TEXAS A & M UNIVERSITY,Texas,228723,Texas A&M University,Texas,Public,"Degree-granting, primarily baccalaureate or above",Assume College Station flagship
UNIVERSITY OF WASHINGTON,Washington,236948,University of Washington,Washington,Public,"Degree-granting, primarily baccalaureate or above",Assume Seattle flagship campus
University of Washington,Washington,236948,University of Washington,Washington,Public,"Degree-granting, primarily baccalaureate or above",Mixed-case variant
UNIVERSITY OF MINNESOTA,Minnesota,174066,University of Minnesota,Minnesota,Public,"Degree-granting, primarily baccalaureate or above",Assume Twin Cities flagship campus
University of Minnesota,Minnesota,174066,University of Minnesota,Minnesota,Public,"Degree-granting, primarily baccalaureate or above",Mixed-case variant
REGENTS OF THE UNIVERSITY OF MINNESOTA,Minnesota,174066,University of Minnesota,Minnesota,Public,"Degree-granting, primarily baccalaureate or above",Legal entity to Twin Cities flagship
OHIO STATE UNIVERSITY,Ohio,204796,The Ohio State University,Ohio,Public,"Degree-granting, primarily baccalaureate or above",Assume main campus
"PENNSYLVANIA STATE UNIVERSITY, THE",Pennsylvania,214777,Pennsylvania State University,Pennsylvania,Public,"Degree-granting, primarily baccalaureate or above",Assume University Park / main campus
NORTHWESTERN UNIVERSITY AT CHICAGO,Illinois,147767,Northwestern University,Illinois,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Alias to Northwestern University
Howard University,District Of Columbia,131520,Howard University,District Of Columbia,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Exact Howard University match
HOWARD UNIVERSITY,District Of Columbia,131520,Howard University,District Of Columbia,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Uppercase Howard University match
University of South Carolina,South Carolina,218663,University of South Carolina-Columbia,South Carolina,Public,"Degree-granting, primarily baccalaureate or above",Map plain name to Columbia flagship
UNIVERSITY OF SOUTH CAROLINA,South Carolina,218663,University of South Carolina-Columbia,South Carolina,Public,"Degree-granting, primarily baccalaureate or above",Map plain uppercase name to Columbia flagship
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,South Carolina,218663,University of South Carolina-Columbia,South Carolina,Public,"Degree-granting, primarily baccalaureate or above",Exact campus variant
Columbia University,New York,190150,Columbia University in the City of New York,New York,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Map plain name to IPEDS legal title
COLUMBIA UNIVERSITY,New York,190150,Columbia University in the City of New York,New York,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Uppercase Columbia variant
Tufts University,Massachusetts,168148,Tufts University,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Exact Tufts University match
TUFTS UNIVERSITY,Massachusetts,168148,Tufts University,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Uppercase Tufts University match
TUFTS UNIVERSITY MEDFORD,Massachusetts,168148,Tufts University,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Map Medford campus wording to main Tufts record
TUFTS UNIVERSITY BOSTON,Massachusetts,168148,Tufts University,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Map Boston wording to main Tufts record
University of Illinois at Urbana-Champaign,Illinois,145637,University of Illinois Urbana-Champaign,Illinois,Public,"Degree-granting, primarily baccalaureate or above",Map plain wording with 'at' to IPEDS name
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,Illinois,145637,University of Illinois Urbana-Champaign,Illinois,Public,"Degree-granting, primarily baccalaureate or above",Uppercase wording with 'at'
University of Illinois Urbana-Champaign,Illinois,145637,University of Illinois Urbana-Champaign,Illinois,Public,"Degree-granting, primarily baccalaureate or above",Exact mixed-case IPEDS naming
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,Illinois,145637,University of Illinois Urbana-Champaign,Illinois,Public,"Degree-granting, primarily baccalaureate or above",Uppercase IPEDS naming
ARIZONA STATE UNIVERSITY,Arizona,104151,Arizona State University,Arizona,Public,"Degree-granting, primarily baccalaureate or above",Map Arizona State grant recipient to Campus Immersion finance record
Arizona State University,Arizona,104151,Arizona State University,Arizona,Public,"Degree-granting, primarily baccalaureate or above",Map mixed-case Arizona State grant recipient to Campus Immersion finance record
