institution_name,sector,state,unitid,opeid,first_snapshot_label,latest_snapshot_label_present,first_snapshot_absent_after_last_presence,latest_reason_on_description,in_finance_tracker
Cranfield University,Private not-for-profit,,,01049300,December 2024,March 2025,June 2025,Outstanding Liability and/or Offset Owed,No
River Valley School of Massage,Private for-profit,AR,485704,04241900,December 2024,March 2025,June 2025,Compliance Audit Late or Missing,No
San Diego Christian College,Private not-for-profit,CA,112084,01203100,December 2024,December 2024,March 2025,Adverse Action Taken by Accreditor/State Agency,Yes
Belle Academy of Cosmetology,Private for-profit,CT,481571,04224200,December 2024,March 2025,June 2025,Adverse Action Taken by Accreditor/State Agency,No
East West College of Natural Medicine,Private for-profit,FL,439394,03429700,December 2024,June 2025,September 2025,Adverse Action Taken by Accreditor/State Agency,No
Reformed University,Private not-for-profit,GA,490230,04256700,December 2024,December 2024,March 2025,Administrative Capability,Yes
Trenz Beauty Academy,Private for-profit,IL,482167,04224500,December 2024,March 2025,June 2025,Severe Program Review Findings,No
Kansas Christian College,Private not-for-profit,KS,155308,02168900,December 2024,March 2025,June 2025,Audit - Severe Findings,Yes
Ideal Beauty Academy,Private for-profit,KY,480161,04038700,December 2024,March 2025,June 2025,Severe Program Review Findings,No
Moore Career College,Private for-profit,LA,444662,03727500,December 2024,December 2024,March 2025,Adverse Action Taken by Accreditor/State Agency,No
Northpoint Bible College,Private not-for-profit,MA,217606,03570500,December 2024,March 2025,June 2025,Financial Responsibility,Yes
Skin Institute,Private for-profit,MO,460932,04174000,December 2024,March 2025,June 2025,Financial Responsibility,No
Nueta Hidatsa Sahnish College,Public,ND,200086,02553700,December 2024,March 2025,June 2025,Administrative Capability,No
Robert Fiance Beauty Schools,Private for-profit,NJ,186274,01209000,December 2024,March 2025,June 2025,Administrative Capability,No
Transitions Career Institute School of Nursing,Private for-profit,NY,491774,04270400,December 2024,December 2024,March 2025,Adverse Action Taken by Accreditor/State Agency,No
Lakewood University,Private not-for-profit,OH,496706,04293900,December 2024,December 2024,March 2025,Severe Program Review Findings,No
Summit Salon Academy - Portland,Private for-profit,OR,209719,01300800,December 2024,March 2025,June 2025,Adverse Action Taken by Accreditor/State Agency,No
Cheyney University of Pennsylvania,Public,PA,211608,00331700,December 2024,June 2025,September 2025,Administrative Capability,Yes
Cambridge Technical Institute,Private for-profit,PR,,03785300,December 2024,June 2025,September 2025,Administrative Capability,No
Rosslyn Training Academy of Cosmetology,Private for-profit,PR,,03638300,December 2024,June 2025,September 2025,Adverse Action Taken by Accreditor/State Agency,No
Allied Health Careers Institute,Private for-profit,TN,490151,04253100,December 2024,March 2025,June 2025,Audit - Severe Findings,No
Jenny Lea Academy of Cosmetology,Private for-profit,TN,451918,02275000,December 2024,March 2025,June 2025,Financial Responsibility,No
Paul Mitchell the School Knoxville,Private for-profit,TN,248660,02275500,December 2024,March 2025,June 2025,Adverse Action Taken by Accreditor/State Agency,No
Barber Institute of Texas,Private for-profit,TX,484048,04229000,December 2024,June 2025,September 2025,Severe Program Review Findings,No
Northwest Educational Center,Private for-profit,TX,369686,03303300,December 2024,March 2025,June 2025,Financial Statement Late or Missing,No
Pearlands Innovative School of Beauty,Private for-profit,TX,495244,04288900,December 2024,March 2025,June 2025,Adverse Action Taken by Accreditor/State Agency,No
Valley Grande Institute for Academic Studies,Private not-for-profit,TX,443322,03612400,December 2024,March 2025,June 2025,Financial Responsibility,No
Eastern Wyoming College,Public,WY,240596,00392900,December 2024,March 2025,June 2025,Administrative Capability,No
